"","NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted"
"2014-05-01",10626.509766,10760.870117,10518.950195,10756.30957,63623630000,10756.30957
"2014-06-01",10760.540039,11025.919922,10729.969727,10979.419922,63283380000,10979.419922
"2014-07-01",11002.370117,11105.849609,10726.379883,10726.429688,66524690000,10726.429688
"2014-08-01",10699.80957,11054.19043,10557.610352,11046.290039,58131140000,11046.290039
"2014-09-01",11050.570313,11108.389648,10685,10702.929688,6.6706e+10,10702.929688
"2014-10-01",10688.650391,10846.089844,9886.080078,10845,93694040000,10845
"2014-11-01",10834.400391,11068.269531,10704.55957,10955.410156,63600190000,10955.410156
"2014-12-01",10933.110352,11008.540039,10360.030273,10839.240234,80743820000,10839.240234
"2015-01-01",10859.799805,10889.25,10442.799805,10537.219727,77330040000,10537.219727
"2015-02-01",10567.959961,11142.55957,10495.709961,11062.790039,68775560000,11062.790039
"2015-03-01",11053.660156,11115.580078,10659.030273,10899.19043,76675850000,10899.19043
"2015-04-01",10906.129883,11248.990234,10834.019531,11049.740234,72060940000,11049.740234
"2015-05-01",11074.950195,11254.870117,10961.179688,11056.299805,65187730000,11056.299805
"2015-06-01",11081.669922,11170.820313,10768.620117,10805.200195,73192620000,10805.200195
"2015-07-01",10844.459961,11032.610352,10622.320313,10882.280273,77920590000,10882.280273
"2015-08-01",10883.469727,10916.219727,9509.589844,10176.5,84626790000,10176.5
"2015-09-01",10176.5,10362.259766,9565.240234,9799.69043,79989370000,9799.69043
"2015-10-01",9832.330078,10538.219727,9697.269531,10460.959961,85844900000,10460.959961
"2015-11-01",10474.580078,10641.620117,10141.549805,10409.589844,75943590000,10409.589844
"2015-12-01",10447.05957,10523.790039,9880.419922,10143.419922,83649260000,10143.419922
"2016-01-01",10020.049805,10039.959961,8937.990234,9632.700195,92409770000,9632.700195
"2016-02-01",9578.919922,9682.929688,8944.049805,9559.530273,93049560000,9559.530273
"2016-03-01",9626.879883,10281.69043,9613.959961,10207.370117,92639420000,10207.370117
"2016-04-01",10132.580078,10593.209961,10004.769531,10436.919922,81124990000,10436.919922
"2016-05-01",10450.129883,10503.410156,10119.650391,10441,75101210000,10441
"2016-06-01",10385.929688,10648.049805,9918.719727,10489.759766,86852700000,10489.759766
"2016-07-01",10495.080078,10815.429688,10308.219727,10785.509766,69530250000,10785.509766
"2016-08-01",10768.75,10892.150391,10619.389648,10764.75,75610310000,10764.75
"2016-09-01",10762.450195,10903.860352,10487.799805,10721.740234,77270240000,10721.740234
"2016-10-01",10721.849609,10721.849609,10425.910156,10481.889648,73196630000,10481.889648
"2016-11-01",10508.009766,10890.040039,10281.480469,10838.459961,88299760000,10838.459961
"2016-12-01",10860.419922,11688.450195,10812.75,11056.900391,75251240000,11056.900391
"2017-01-01",11138.849609,11344.740234,11094.290039,11222.959961,70483180000,11222.959961
"2017-02-01",11244.820313,11590.349609,11171.570313,11512.389648,69162420000,11512.389648
"2017-03-01",11593.209961,11687.070313,11324.5,11492.849609,81547770000,11492.849609
"2017-04-01",11495.330078,11653.169922,11324.530273,11536.080078,65265670000,11536.080078
"2017-05-01",11550.410156,11666.900391,11374.639648,11598.030273,72244930000,11598.030273
"2017-06-01",11616.209961,11837.599609,11603.410156,11761.700195,77145350000,11761.700195
"2017-07-01",11801.44043,11989.530273,11684.75,11967.669922,63169400000,11967.669922
"2017-08-01",12006.740234,12019.849609,11670.879883,11875.69043,70616030000,11875.69043
"2017-09-01",11897.969727,12209.450195,11783.870117,12209.160156,66337980000,12209.160156
"2017-10-01",12209.160156,12443.799805,12200.129883,12341.009766,70871570000,12341.009766
"2017-11-01",12383.870117,12673.700195,12178.889648,12627.799805,73173260000,12627.799805
"2017-12-01",12636.730469,12886.110352,12463.830078,12808.839844,65251190000,12808.839844
"2018-01-01",12860.929688,13637.019531,12842.269531,13367.959961,76850120000,13367.959961
"2018-02-01",13338.990234,13414.780273,12048.660156,12652.549805,79579410000,12652.549805
"2018-03-01",12644.429688,12963.419922,12166.540039,12452.05957,76369800000,12452.05957
"2018-04-01",12432.889648,12774.370117,12107.719727,12515.360352,69648590000,12515.360352
"2018-05-01",12490.240234,12853.330078,12255.849609,12527.139648,75617280000,12527.139648
"2018-06-01",12596.679688,12888.980469,12377.040039,12504.25,77439710000,12504.25
"2018-07-01",12430.700195,12989.459961,12400.540039,12963.280273,64542170000,12963.280273
"2018-08-01",12949.849609,13148.419922,12648.320313,13016.889648,69238220000,13016.889648
"2018-09-01",12976.049805,13261.769531,12873.379883,13082.519531,62492080000,13082.519531
"2018-10-01",13146.299805,13175.610352,11820.330078,12208.05957,91327930000,12208.05957
"2018-11-01",12208.05957,12682.05957,12016.080078,12457.549805,80080110000,12457.549805
