"","XAX.Open","XAX.High","XAX.Low","XAX.Close","XAX.Volume","XAX.Adjusted"
"2014-06-01",2711.659912,2822.899902,2693.320068,2778.879883,0,2778.879883
"2014-07-01",2779.060059,2835.5,2705.429932,2706.919922,0,2706.919922
"2014-08-01",2704.939941,2784.23999,2650.800049,2784.080078,0,2784.080078
"2014-09-01",2776.530029,2779.530029,2602.120117,2605.659912,0,2605.659912
"2014-10-01",2605.699951,2606.100098,2402.780029,2577.459961,0,2577.459961
"2014-11-01",2584.320068,2631.75,2533.73999,2544.469971,0,2544.469971
"2014-12-01",2532.350098,2592.899902,2317.719971,2444.330078,0,2444.330078
"2015-01-01",2444.27002,2493.800049,2343.110107,2432.050049,0,2432.050049
"2015-02-01",2431.929932,2532.51001,2427.98999,2522.370117,0,2522.370117
"2015-03-01",2506.959961,2536.620117,2351.72998,2379.620117,0,2379.620117
"2015-04-01",2394.280029,2555.530029,2391.459961,2485.22998,0,2485.22998
"2015-05-01",2480.97998,2493.419922,2410.840088,2429.469971,0,2429.469971
"2015-06-01",2427.360107,2456.669922,2334.300049,2355.530029,0,2355.530029
"2015-07-01",2369.590088,2423.5,2268.550049,2419.689941,0,2419.689941
"2015-08-01",2411.149902,2425.540039,2113.719971,2225.449951,0,2225.449951
"2015-09-01",2220.189941,2256.01001,2121.77002,2173.169922,0,2173.169922
"2015-10-01",2183.600098,2338.51001,2145.629883,2304.560059,0,2304.560059
"2015-11-01",2309.560059,2332.52002,2175.120117,2254.290039,0,2254.290039
"2015-12-01",2262.560059,2273.840088,2087.530029,2149.149902,0,2149.149902
"2016-01-01",2135.860107,2136.820068,1869.099976,2085.219971,0,2085.219971
"2016-02-01",2071.590088,2126.679932,1986.839966,2111.870117,0,2111.870117
"2016-03-01",2139.639893,2273.350098,2129.77002,2243.23999,0,2243.23999
"2016-04-01",2219.050049,2377.129883,2203.179932,2358.590088,0,2358.590088
"2016-05-01",2357.73999,2368.610107,2269.429932,2310.52002,0,2310.52002
"2016-06-01",2290.639893,2413.629883,2232.25,2412.219971,0,2412.219971
"2016-07-01",2429.399902,2436.899902,2367.080078,2417.399902,0,2417.399902
"2016-08-01",2400.040039,2465.030029,2365.52002,2374.719971,0,2374.719971
"2016-09-01",2372.26001,2468.73999,2347.449951,2434.98999,0,2434.98999
"2016-10-01",2437.699951,2454.679932,2233.429932,2262.77002,0,2262.77002
"2016-11-01",2262.879883,2277.830078,2140.27002,2241.689941,0,2241.689941
"2016-12-01",2242.669922,2342.48999,2226.27002,2308.030029,0,2308.030029
"2017-01-01",2323.320068,2464.280029,2316.340088,2436.189941,0,2436.189941
"2017-02-01",2438.23999,2504.530029,2428.659912,2471.080078,0,2471.080078
"2017-03-01",2469.689941,2517,2387.219971,2510.919922,0,2510.919922
"2017-04-01",2510.870117,2570.330078,2492.189941,2529.360107,0,2529.360107
"2017-05-01",2529.540039,2620.820068,2494.02002,2610.449951,0,2610.449951
"2017-06-01",2609.060059,2648.23999,2536.830078,2555.379883,0,2555.379883
"2017-07-01",2547.550049,2618.689941,2489.560059,2551.580078,0,2551.580078
"2017-08-01",2556.570068,2569.959961,2470.419922,2545.25,0,2545.25
"2017-09-01",2558.350098,2648.790039,2553.610107,2639.290039,0,2639.290039
"2017-10-01",2631.120117,2669.800049,2559.77002,2629.330078,0,2629.330078
"2017-11-01",2643,2654.22998,2566.070068,2607.340088,0,2607.340088
"2017-12-01",2622.199951,2675.209961,2550.360107,2661.5,0,2661.5
"2018-01-01",2668.830078,2768.780029,2656.76001,2671.969971,0,2671.969971
"2018-02-01",2665.77002,2691.560059,2452.26001,2452.26001,0,2452.26001
"2018-03-01",2451.899902,2509.090088,2426.719971,2456.290039,0,2456.290039
"2018-04-01",2456.26001,2631.840088,2417.97998,2613.610107,0,2613.610107
"2018-05-01",2615.350098,2783.100098,2584.040039,2751.800049,0,2751.800049
"2018-06-01",2765.219971,2780.590088,2700.469971,2748.47998,0,2748.47998
"2018-07-01",2734.889893,2790.379883,2686.429932,2749.129883,0,2749.129883
"2018-08-01",2749.129883,2749.129883,2593.780029,2675.070068,0,2675.070068
"2018-09-01",2666.399902,2738.439941,2569.840088,2720.26001,0,2720.26001
"2018-10-01",2734.120117,2765.550049,2465.77002,2520.469971,0,2520.469971
"2018-11-01",2531.459961,2613.389893,2426.76001,2485.139893,0,2485.139893
"2018-12-01",2508.01001,2529.419922,2192.25,2292.26001,0,2292.26001
"2019-01-01",2264.419922,2542.360107,2261.98999,2533.889893,0,2533.889893
"2019-02-01",2541.959961,2546.300049,2459.530029,2496.550049,0,2496.550049
"2019-03-01",2494.679932,2585.590088,2463.25,2543.620117,0,2543.620117
"2019-04-01",2556.439941,2629.25,2520.02002,2573.580078,0,2573.580078
"2019-05-01",2573.290039,2581.969971,2426.610107,2442.570068,0,2442.570068
"2019-06-01",2451.47998,2589.449951,2451.47998,2574.610107,0,2574.610107
"2019-07-01",2574.669922,2612.060059,2528.719971,2539.639893,0,2539.639893
"2019-08-01",2521.590088,2542.51001,2363.879883,2419.550049,0,2419.550049
"2019-09-01",2408.97998,2584.23999,2387.610107,2488.159912,0,2488.159912
"2019-10-01",2488.159912,2503.340088,2385.669922,2450.98999,0,2450.98999
"2019-11-01",2445.360107,2523.100098,2425.129883,2447.01001,0,2447.01001
"2019-12-01",2436.340088,2565.5,2404.5,2552.560059,0,2552.560059
"2020-01-01",2563.050049,2636.899902,2430.090088,2431.409912,0,2431.409912
"2020-02-01",2431.409912,2458.530029,2134.080078,2213.699951,0,2213.699951
"2020-03-01",2240.080078,2289.209961,1276.089966,1537,0,1537
"2020-04-01",1489.709961,1991.410034,1464.199951,1939.839966,0,1939.839966
"2020-05-01",1894.650024,1968.219971,1750,1921.859985,0,1921.859985
"2020-06-01",1923.689941,2148.409912,1905.790039,1993.150024,0,1993.150024
"2020-07-01",1993.150024,2117.120117,1954.689941,2058.73999,0,2058.73999
"2020-08-01",2063.51001,2184.75,2051.51001,2105.189941,0,2105.189941
"2020-09-01",2113.77002,2136.929932,1892.699951,1907.810059,0,1907.810059
"2020-10-01",1914.890015,2051.669922,1864.660034,1983.709961,0,1983.709961
"2020-11-01",1992,2306.459961,1987.680054,2224.300049,0,2224.300049
"2020-12-01",2259.949951,2398.639893,2234.139893,2360.899902,0,2360.899902
"2021-01-01",2385.679932,2563.97998,2350.540039,2416.149902,0,2416.149902
"2021-02-01",2416.149902,2738.040039,2416.149902,2601.659912,0,2601.659912
"2021-03-01",2601.659912,2862.360107,2601.659912,2715.27002,0,2715.27002
"2021-04-01",2715.27002,2944.530029,2711.120117,2942.48999,0,2942.48999
"2021-05-01",2942.48999,3245.699951,2942.48999,3221.780029,0,3221.780029
"2021-06-01",3221.780029,3353.280029,3123.810059,3179.879883,0,3179.879883
"2021-07-01",NA,NA,NA,NA,NA,NA
